Ref,Val,Package,PosX,PosY,Rot,Side
"J1","USEL","GS3",5.400000,-2.860236,0.000000,bottom
"J2","MMD1","GS3",5.400000,-2.574803,180.000000,bottom
"J3","MMD0","GS3",5.478740,-2.574803,0.000000,bottom
"J6","USEL","GS3",6.079134,-2.624016,180.000000,bottom
"J7","MMD1","GS3",6.079134,-2.909449,0.000000,bottom
"J8","MMD0","GS3",6.000394,-2.909449,180.000000,bottom
"C1","10u","C_0603",5.212992,-2.624016,90.000000,top
"C2","100n","C_0402",5.212992,-2.732283,90.000000,top
"C3","100n","C_0402",5.153937,-2.732283,270.000000,top
"C4","10u","C_0603",5.153937,-2.909449,270.000000,top
"C5","100n","C_0402",5.212992,-2.909449,270.000000,top
"C6","20p","C_0402",5.823228,-2.653543,270.000000,top
"C7","20p","C_0402",5.823228,-2.555118,90.000000,top
"C8","10u","C_0603",6.266142,-2.860236,270.000000,top
"C9","100n","C_0402",6.266142,-2.751969,270.000000,top
"C10","100n","C_0402",6.325197,-2.751969,90.000000,top
"C11","10u","C_0603",6.325197,-2.574803,90.000000,top
"C12","100n","C_0402",6.266142,-2.574803,90.000000,top
"C13","20p","C_0402",5.655906,-2.830709,90.000000,top
"C14","20p","C_0402",5.655906,-2.929134,270.000000,top
"C15","33n","C_0402",6.029921,-2.496063,180.000000,top
"C16","33n","C_0402",5.734646,-3.066929,90.000000,top
"C17","33n","C_0402",5.931496,-3.066929,90.000000,top
"C18","33n","C_0402",5.833071,-3.066929,90.000000,top
"C19","33n","C_0402",5.439370,-3.066929,90.000000,top
"C20","33n","C_0402",5.323228,-3.017717,90.000000,top
"C21","33n","C_0402",6.148031,-3.015748,90.000000,top
"C22","33n","C_0402",6.029921,-3.066929,90.000000,top
"C23","33n","C_0402",5.636220,-3.066929,90.000000,top
"C24","33n","C_0402",5.537795,-3.066929,90.000000,top
"L1","GND_SUP","L_0402",5.228740,-2.446850,0.000000,top
"L2","3V3_SUP","L_0402",5.228740,-2.360236,0.000000,top
"M1","ATM90E26_ATM90E26","SSOP-28_5.3x10.2mm_Pitch0.65mm",5.439370,-2.742126,0.000000,top
"M2","ATM90E26_ATM90E26","SSOP-28_5.3x10.2mm_Pitch0.65mm",6.039764,-2.742126,180.000000,top
"R1","1K","R_0402",5.941339,-2.496063,180.000000,top
"R2","1K","R_0402",5.783858,-3.066929,270.000000,top
"R3","1K","R_0402",5.980709,-3.066929,270.000000,top
"R4","1K","R_0402",5.882283,-3.066929,270.000000,top
"R5","1K","R_0402",5.488583,-3.066929,270.000000,top
"R6","1K","R_0402",5.370472,-3.017717,270.000000,top
"R7","1K","R_0402",6.197244,-3.015748,270.000000,top
"R8","1K","R_0402",6.079134,-3.066929,270.000000,top
"R9","1K","R_0402",5.685433,-3.066929,270.000000,top
"R10","1K","R_0402",5.587008,-3.066929,270.000000,top
"Y1","Crystal_Small","Crystal_SMD_5032-2pin_5.0x3.2mm",5.714961,-2.614173,90.000000,top
"Y2","Crystal_Small","Crystal_SMD_5032-2pin_5.0x3.2mm",5.764173,-2.870079,270.000000,top
